Categoria Amazon;ASIN Amazon;Produto Amazon;Nota Amazon;Avaliações Amazon;Link Amazon;ASIN Mercado Livre;Produto Mercado Livre;Nota Mercado Livre;Avaliações ML;Link Mercado Livre;Similaridade;Nota Geral Ponderada;;;;;
Bebês;B07GQB93FT;Fralda Pampers Premium Care Recém-Nascido RN 36 Unidades;4.9;8929;https://www.amazon.com.br/dp/B07GQB93FT;MLB17335938;Fralda Descartável Pampers Premium Care Recém-nascido Rn 20 Unidades;4.9;22324;https://www.mercadolivre.com.br/fralda-descartavel-pampers-premium-care-recem-nascido-rn-20-unidades/p/MLB17335938;0.753;4.9;;;;;
Bebês;B0C5SQNSL4;Fralda Pampers Pants Ajuste Total Tamanho M, Fácil de Vestir, 112 Unidades;4.8;3600;https://www.amazon.com.br/dp/B0C5SQNSL4;MLB19485102;Fralda Pampers Pants Ajuste Total M 112 Unidades;4.9;28157;https://www.mercadolivre.com.br/fralda-pampers-pants-ajuste-total-m-112-unidades/p/MLB19485102;0.72;4.89;;;;;
Beleza;B079VXJK79;Cetaphil Creme Hidratante;4.8;28354;https://www.amazon.com.br/dp/B079VXJK79;MLB18390579;Cetaphil Creme Hidratante Corporal 453g | Pele Sensível, Normal A Seca | Hidratação 48h | Niacinamida E Pantenol (pró-vitamina B5) Neutra;4.9;46602;https://www.mercadolivre.com.br/cetaphil-creme-hidratante-corporal-453g-pele-sensivel-normal-a-seca-hidrataco-48h-niacinamida-e-pantenol-pro-vitamina-b5/p/MLB18390579;0.727;4.86;;;;;
Brinquedos e Jogos;B0DFFTP71B;Bicicleta De Equilibrio Buba, 4 Rodas;4.8;4411;https://www.amazon.com.br/dp/B0DFFTP71B;MLB25839994;Bicicleta De Equilíbrio 4 Rodas Buba Infantil Sem Pedal Cor Rosa;4.9;17269;https://www.mercadolivre.com.br/bicicleta-de-equilibrio-4-rodas-buba-infantil-sem-pedal-cor-rosa/p/MLB25839994;0.827;4.88;;;;;
Brinquedos e Jogos;B0D221YB3L;Brastoy Blocos de Montar Magnéticos Infantil Construção Brinquedo (102 Peças);5.0;2620;https://www.amazon.com.br/dp/B0D221YB3L;MLB62513055;Kit 80 Blocos Magnéticos De Montar Construção Pedra, Água E Tijolo Brinquedo Educativo;4.7;909;https://www.mercadolivre.com.br/kit-80-blocos-magneticos-de-montar-construco-pedra-agua-e-tijolo-brinquedo-educativo/p/MLB62513055;0.778;4.92;;;;;
Computadores e Informática;B0F1G2TL8P;Mouse Sem Fio Recarregável Wireless Bluetooth Optico Led Rgb Colorido Ergonômico Usb 2.4 Ghz Notebook Computador Pc Desktop Linha Premium - Cores Sortidas;4.5;9340;https://www.amazon.com.br/dp/B0F1G2TL8P;MLB64093163;Mouse Sem Fio Recarregável Wireless Optico Led Rgb Ergonômico Sem Fio Para Pc Desktop Notebook Tablet Smartphone Homeroarte Preto;4.8;67430;https://www.mercadolivre.com.br/mouse-sem-fio-recarregavel-wireless-optico-led-rgb-ergonmico-sem-fio-para-pc-desktop-notebook-tablet-smartphone-homeroarte-preto/p/MLB64093163;0.954;4.76;;;;;
Cozinha;B08DFCF9HW;Liquidificador 1400 Full Oster Preto 3,2L - 127V;4.5;41397;https://www.amazon.com.br/dp/B08DFCF9HW;MLB16602519;Liquidificador Full 1400w 15 Velocidades Oliq610 Preto Oster;4.7;44003;https://www.mercadolivre.com.br/liquidificador-full-1400w-15-velocidades-oliq610-preto-oster/p/MLB16602519;0.736;4.6;;;;;
Cozinha;B07QK91PTZ;MONDIAL Liquidificador Turbo Power, Preto, 550W, 220V - L-99 FB;4.6;39645;https://www.amazon.com.br/dp/B07QK91PTZ;MLB15699911;Liquidificador Turbo Power Mondial 550w L-99 Wg Branco/cinza 220v;4.7;265491;https://www.mercadolivre.com.br/liquidificador-turbo-power-mondial-550w-l-99-wg/p/MLB15699911;0.842;4.69;;;;;
Cozinha;B0F256HPZJ;Filtro/Refil Original de Água Acqua Pure para Purificador Electrolux PE12A/PE12B/PE12G/PE12V/PE12P;4.8;6650;https://www.amazon.com.br/dp/B0F256HPZJ;MLB60239158;Filtro/refil De Água Acqua Pure Para Purificador Electrolux Pe12a/pe12b/pe12g/pe12v/pe12p - Filtro Água Pe12 / Pc02;4.9;4215;https://www.mercadolivre.com.br/filtrorefil-de-agua-acqua-pure-para-purificador-electrolux-pe12ape12bpe12gpe12vpe12p-filtro-agua-pe12-pc02/p/MLB60239158;0.782;4.84;;;;;
Cozinha;B0789M146B;Faqueiro Tramontina Búzios cem Aço Inox com Detalhe 24 Peças;4.7;14966;https://www.amazon.com.br/dp/B0789M146B;MLB35092029;Jogo Talheres Faqueiro Búzios Aço Inox 24 Peças Tramontina;4.8;29628;https://www.mercadolivre.com.br/jogo-talheres-faqueiro-buzios-aco-inox-24-pecas-tramontina/p/MLB35092029;0.783;4.77;;;;;
Cozinha;B076BL1265;Liquidificador, Ph900, 3L, Preto, 110V, Philco;4.6;906;https://www.amazon.com.br/dp/B076BL1265;MLB15578942;Liquidificador Philco 1200w 3l 12 Velocidades Preto Ph900 220v;4.8;71332;https://www.mercadolivre.com.br/liquidificador-philco-1200w-3l-12-velocidades-preto-ph900/p/MLB15578942;0.845;4.8;;;;;
Cozinha;B0CX23Y6LP;Balança de Cozinha Digital para Alimentos em Inox Resistente a Água Com Base Antiderrapante e Visor de Alta Definição Pesagem de 1g até 10kg;4.3;2804;https://www.amazon.com.br/dp/B0CX23Y6LP;MLB22501933;Balança Digital De Precisão Davely Cook Cozinha Para Uso Domestico E Profissional Fitness Ideal Para Dietas Treinos Alimentos Confeitaria Nutrição Capacidade Máxima 10 Kg Branco;4.8;13167;https://www.mercadolivre.com.br/balanca-digital-de-preciso-davely-cook-cozinha-para-uso-domestico-e-profissional-fitness-ideal-para-dietas-treinos-alimentos-confeitaria-nutrico-capacidade-maxima-10-kg-branco/p/MLB22501933;0.719;4.71;;;;;
Eletrônicos;B0FPJ5GYPG;"Celular Samsung Galaxy A07 128GB, 4GB, Câm. 50MP, Tela 6.7""- Verde";4.7;8260;https://www.amazon.com.br/dp/B0FPJ5GYPG;MLB57767498;Celular Samsung Galaxy A07 128gb, 4gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Violeta;4.9;26432;https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-128gb-4gb-cmera-50mp-tela-67-proteco-ip54-processador-6nm-violeta/p/MLB57767498;0.82;4.85;;;;;
Eletrônicos;B0DJFTJ6LX;Apple iPhone 16 (128 GB) – Preto;4.8;363;https://www.amazon.com.br/dp/B0DJFTJ6LX;MLB1040287800;Apple iPhone 16 (128 Gb) - Ultramarine - Distribuidor Autorizado;4.9;23714;https://www.mercadolivre.com.br/apple-iphone-16-128-gb-ultramarine-distribuidor-autorizado/p/MLB1040287800;0.941;4.9;;;;;
Eletrônicos;B0CP6CVJSG;Apple iPhone 15 (128 GB) — Preto;4.8;8484;https://www.amazon.com.br/dp/B0CP6CVJSG;MLB1027172666;Apple iPhone 15 (512 Gb) - Preto - Distribuidor Autorizado;4.9;23635;https://www.mercadolivre.com.br/apple-iphone-15-512-gb-preto-distribuidor-autorizado/p/MLB1027172666;0.914;4.87;;;;;
Eletrônicos;B0778VZYVV;Duracell Pilha Alcalina AA Pequena Com 16 Unidades – Dura até 10x Mais – Ideal para Controle Xbox™, Brinquedos e Lanternas;4.8;22892;https://www.amazon.com.br/dp/B0778VZYVV;MLB19748584;Pilha Alcalina Aa Pequena Duracell Com 16 Unidades;4.9;14954;https://www.mercadolivre.com.br/pilha-alcalina-aa-pequena-duracell-com-16-unidades/p/MLB19748584;0.879;4.84;;;;;
Eletrônicos;B0F7M1YN3L;"Smart TV 32"" Philco LED Roku Tv HD Dolby Audio P32CRA";4.6;4420;https://www.amazon.com.br/dp/B0F7M1YN3L;MLB39456212;Smart Tv 32 Philco Ptv32k34rkgb Roku Tv Led Dolby Audio;4.8;7818;https://www.mercadolivre.com.br/smart-tv-32-philco-ptv32k34rkgb-roku-tv-led-dolby-audio/p/MLB39456212;0.841;4.73;;;;;
Eletrônicos;B0FPHYC9FQ;"Celular Samsung Galaxy A07 128GB, 4GB, Câm. 50MP, Tela 6.7""- Preto";4.8;2420;https://www.amazon.com.br/dp/B0FPHYC9FQ;MLB57767498;Celular Samsung Galaxy A07 128gb, 4gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Violeta;4.9;26432;https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-128gb-4gb-cmera-50mp-tela-67-proteco-ip54-processador-6nm-violeta/p/MLB57767498;0.854;4.89;;;;;
Eletrônicos;B0DNRFGBQ4;"Celular Samsung Galaxy A16, 128GB + 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh - Preto";4.7;2865;https://www.amazon.com.br/dp/B0DNRFGBQ4;MLB44113907;Celular Samsung Galaxy A16 4g, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Cinza;4.9;84425;https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-4g-256gb-8gb-ram-cmera-de-ate-50mp-tela-67-nfc-ip54-bateria-5000-mah-cinza/p/MLB44113907;0.728;4.89;;;;;
Eletrônicos;B0DYVPCX34;"Smartphone Samsung Galaxy A56 5G 256GB, 8GB RAM, Câmera 50MP, IP67, Super AMOLED 6.7"", Recursos AI, Preto";4.8;3097;https://www.amazon.com.br/dp/B0DYVPCX34;MLB47114363;Celular Samsung Galaxy A56 5g 256gb 8gb Ram Cinza;4.9;35669;https://www.mercadolivre.com.br/celular-samsung-galaxy-a56-5g-256gb-8gb-ram-cinza/p/MLB47114363;0.776;4.89;;;;;
Eletrônicos;B0D9ZMKMB6;Smart TV 32” Philco PTV32K34RKGB Roku TV Led Dolby Audio;4.7;8150;https://www.amazon.com.br/dp/B0D9ZMKMB6;MLB39456212;Smart Tv 32 Philco Ptv32k34rkgb Roku Tv Led Dolby Audio;4.8;7818;https://www.mercadolivre.com.br/smart-tv-32-philco-ptv32k34rkgb-roku-tv-led-dolby-audio/p/MLB39456212;1.0;4.75;;;;;
Eletrônicos;B0DVMQVVDY;PHILIPS, Fone de Ouvido Sem Fio TWS, TAT1109BK/00, Bluetooth, Com Microfone, Até 24 horas de bateria, Preto;4.6;5955;https://www.amazon.com.br/dp/B0DVMQVVDY;MLB47815743;Fone De Ouvido Bluetooth Sem Fio Tws Esportivo Compatível Com iPhone Samsung Xiaomi Lenovo Motorola Xt80 Lp75 Celular Android Ios Academia Caminhada Tipo Gancho Preto;4.7;8338;https://www.mercadolivre.com.br/fone-de-ouvido-bluetooth-sem-fio-tws-esportivo-compativel-com-iphone-samsung-xiaomi-lenovo-motorola-xt80-lp75-celular-android-ios-academia-caminhada-tipo-gancho/p/MLB47815743;0.828;4.66;;;;;
Games e Consoles;B0CQKLS4RP;PlayStation DualSense Controle sem fio – Branco;4.8;41396;https://www.amazon.com.br/dp/B0CQKLS4RP;MLB33997846;Controle Joystick Sem Fio Sony Playstation Dualsense Branco;4.9;20374;https://www.mercadolivre.com.br/controle-joystick-sem-fio-sony-playstation-dualsense-branco/p/MLB33997846;1.0;4.83;;;;;
Games e Consoles;B0CTQ6V17N;Suporte Vertical para PS5/PS5 Slim - Base Antiderrapante, Design Minimalista, Melhor Dissipação de Calor, Fácil de Instalar;4.8;1222;https://www.amazon.com.br/dp/B0CTQ6V17N;LBU3092993382;Suporte Base Vertical Para Playstation 5 Ps5 Slim Fat Todos Preto;4.6;3014;https://www.mercadolivre.com.br/suporte-base-vertical-para-playstation-5-ps5-slim-fat-todos/up/MLBU3092993382;0.721;4.66;;;;;
Instrumentos Musicais;B09G88Q41V;"SUPORTE PARA BAIXO; GUITARRA; VIOLÃO TONANTE TIPO CAVALETE - DOBRÁVEL – TNS1954-3";4.8;1309;https://www.amazon.com.br/dp/B09G88Q41V;MLB27048469;Suporte Para Instrumentos Chão Guitarra Violão Baixo Ask G3s Cor Preto;4.8;4556;https://www.mercadolivre.com.br/suporte-para-instrumentos-cho-guitarra-violo-baixo-ask-g3s-cor-preto/p/MLB27048469;0.707;4.8;;;;;
Jardim e Piscina;B077PT41YL;WAP Lavadora de Alta Pressão OUSADA PLUS 2200, com Jato Leque e Concentrado, 342L/h, 1750psi 1500W 127V;4.6;9503;https://www.amazon.com.br/dp/B077PT41YL;MLB15345687;Lavadora De Alta Pressão Wap Ousada Plus 2200 1500w 1750 Psi;4.7;33695;https://www.mercadolivre.com.br/lavadora-de-alta-presso-wap-ousada-plus-2200-1500w-1750-psi/p/MLB15345687;0.785;4.68;;;;;
Jardim e Piscina;B07RGQVHBJ;Vonder, Pulverizador Costal Agrícola 20 Litros, Pc 020.;4.6;3171;https://www.amazon.com.br/dp/B07RGQVHBJ;MLB24084361;Vonder Pc020 Bomba Costal Pulverizador Agricola Manual 20 Litros;4.7;10457;https://www.mercadolivre.com.br/vonder-pc020-bomba-costal-pulverizador-agricola-manual-20-litros/p/MLB24084361;0.714;4.68;;;;;
Jardim e Piscina;B0F2BFKQ14;K-Othrine Gel Formigas: Isca Inseticida Gel Mata Formigas;4.9;250;https://www.amazon.com.br/dp/B0F2BFKQ14;MLB19866663;K-othrine Gel Formigas: Isca Gel Formigas;4.8;1899;https://www.mercadolivre.com.br/k-othrine-gel-formigas-isca-gel-formigas/p/MLB19866663;0.94;4.81;;;;;
Jardim e Piscina;B07SFXGV8V;Forth Frutas, Fertilizante, Adubo para Plantas Frutíferas, Nutritivo, Micronutrientes, NPK, Balde, 3kg;4.8;1907;https://www.amazon.com.br/dp/B07SFXGV8V;MLB23273981;Forth Adubo Fertilizante P/ Árvore Frutífera Npk Frutas 3kg;4.8;10848;https://www.mercadolivre.com.br/forth-adubo-fertilizante-p-arvore-frutifera-npk-frutas-3kg/p/MLB23273981;0.728;4.8;;;;;
Livros;6555655062;A empregada (A empregada – Livro 1): Bem-vinda à família;4.7;39341;https://www.amazon.com.br/dp/6555655062;MLB29920148;Livro A Empregada: Bem-vinda À Família, De Freida Mcfadden. Editorial Editora Arqueiro, Capa Mole Em Português, 2023;4.9;2374;https://www.mercadolivre.com.br/livro-a-empregada-bem-vinda-familia-de-freida-mcfadden-editorial-editora-arqueiro-capa-mole-em-portugus-2023/p/MLB29920148;0.908;4.71;;;;;
Livros;6559801365;O Pequeno Príncipe – Edição de luxo com capa dura almofadada e aquarelas originais do autor;4.9;1799;https://www.amazon.com.br/dp/6559801365;MLB43965442;O Pequeno Príncipe | Capa Dura Almofadada;4.9;988;https://www.mercadolivre.com.br/o-pequeno-principe-capa-dura-almofadada/p/MLB43965442;0.812;4.9;;;;;
Livros;6555111100;A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade;4.8;25595;https://www.amazon.com.br/dp/6555111100;MLB19320442;Livro A Psicologia Financeira: Lições Atemporais Sobre Fortuna, Ganância E Felicidade, De Housel, Morgan. Editora Harpercollins Brasil, Capa Mole Em Português, 2021;4.9;12844;https://www.mercadolivre.com.br/livro-a-psicologia-financeira-licoes-atemporais-sobre-fortuna-ganncia-e-felicidade-de-housel-morgan-editora-harpercollins-brasil-capa-mole-em-portugus-2021/p/MLB19320442;0.802;4.83;;;;;
Livros;8532649963;Sociedade do cansaço;4.6;17378;https://www.amazon.com.br/dp/8532649963;MLB19215028;Livro Sociedade Do Cansaço De Han Byung-chul Edição 1 Capa Mole Em Português 2015 Editorial Editora Vozes;4.8;1653;https://www.mercadolivre.com.br/livro-sociedade-do-cansaco-de-han-byung-chul-edico-1-capa-mole-em-portugus-2015-editorial-editora-vozes/p/MLB19215028;0.744;4.62;;;;;
Livros;6555320354;A hora da estrela: Edição comemorativa;4.7;24112;https://www.amazon.com.br/dp/6555320354;MLB19300318;Livro A Hora Da Estrela (edição Comemorativa), De Lispector, Clarice. Editora Rocco Ltda, Capa Mole (2020);4.9;3119;https://www.mercadolivre.com.br/livro-a-hora-da-estrela-edico-comemorativa-de-lispector-clarice-editora-rocco-ltda-capa-mole-2020/p/MLB19300318;0.912;4.72;;;;;
Livros;8550807567;Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma ‏ : ‎ Português;4.8;25929;https://www.amazon.com.br/dp/8550807567;MLB19299491;Hábitos Atômicos: Um Método Fácil E Comprovado De Criar Bons Hábitos E Se Livrar Dos Maus James Clear;4.9;7176;https://www.mercadolivre.com.br/habitos-atmicos-um-metodo-facil-e-comprovado-de-criar-bons-habitos-e-se-livrar-dos-maus-james-clear/p/MLB19299491;1.0;4.82;;;;;
Livros;6585930487;Café com Deus Pai Vol. 6 - 2026: Porções Diárias de Amor;4.9;1454;https://www.amazon.com.br/dp/6585930487;LBU3652752796;Café Com Deus Pai 2026 - Porções Diárias De Amor + Mini Copo;5.0;1481;https://www.mercadolivre.com.br/cafe-com-deus-pai-2026--porcoes-diarias-de-amor--mini-copo/up/MLBU3652752796;0.935;4.95;;;;;
Livros;659814213X;365 Dias de Amor com Deus - Devocional;4.7;2200;https://www.amazon.com.br/dp/659814213X;MLB42008720;365 Dias Amor Com Deus Devocional;5.0;1968;https://www.mercadolivre.com.br/365-dias-amor-com-deus-devocional/p/MLB42008720;0.97;4.84;;;;;
Livros;6560950700;365 Hábitos Simples e Poderosos;4.8;6080;https://www.amazon.com.br/dp/6560950700;MLB41503075;365 Hábitos Simples E Poderosos;4.9;685;https://www.mercadolivre.com.br/365-habitos-simples-e-poderosos/p/MLB41503075;1.0;4.81;;;;;
Livros;8595081530;O homem mais rico da Babilônia;4.9;47316;https://www.amazon.com.br/dp/8595081530;MLB19424544;O Homem Mais Rico Da Babilônia George S. Clason - Ano 2017 - Editora Harpercollins Brasil;4.9;12179;https://www.mercadolivre.com.br/o-homem-mais-rico-da-babilnia-george-s-clason-ano-2017-editora-harpercollins-brasil/p/MLB19424544;1.0;4.9;;;;;
Livros;6583195054;Mulheres com Deus - 365 Dias de Fé - Devocional 2026;4.9;1330;https://www.amazon.com.br/dp/6583195054;MLB51089812;Mulheres Com Deus - 365 Dias De Fé - Devocional;4.9;1333;https://www.mercadolivre.com.br/mulheres-com-deus-365-dias-de-fe-devocional/p/MLB51089812;0.935;4.9;;;;;
Livros;6555607289;Melhor do que nos filmes;4.8;12879;https://www.amazon.com.br/dp/6555607289;MLB22500020;Melhor Do Que Nos Filmes, De Lynn Painter. Editora Intrínseca Ltda, Capa Mole, Edição Brochura Em Português, 2023;4.9;4404;https://www.mercadolivre.com.br/melhor-do-que-nos-filmes-de-lynn-painter-editora-intrinseca-ltda-capa-mole-edico-brochura-em-portugus-2023/p/MLB22500020;0.97;4.83;;;;;
Papelaria e Escritório;B07VFWFS4P;Tilibra 305421 Universitário 10 Matérias Zip - Caderno Espiral, Capa Dura, 160 Folhas, Preto;4.8;30253;https://www.amazon.com.br/dp/B07VFWFS4P;MLB23455339;Caderno Universitário 10 Matérias Zip Preto Tilibra;4.9;6861;https://www.mercadolivre.com.br/caderno-universitario-10-materias-zip-preto-tilibra/p/MLB23455339;0.749;4.82;;;;;
Papelaria e Escritório;B0D8VCWXXK;Estojo Escolar Organizador Box Grande Para Lapis Feminino Masculino Material Escolar;4.6;6540;https://www.amazon.com.br/dp/B0D8VCWXXK;MLB5646556204;Estojo Escolar Box Grande Organizador Masculino Feminino;4.7;1407;https://produto.mercadolivre.com.br/MLB-5646556204-estojo-escolar-box-grande-organizador-masculino-feminino-_JM;0.833;4.62;;;;;
Papelaria e Escritório;B0DJ67YCYX;Estojo Escolar Box Grande Infantil Organizador Para Lapis Feminino Masculino Nylon Com Divisoria Necessarie Ziper Resistente Marca Calmfy - Preto;4.6;5420;https://www.amazon.com.br/dp/B0DJ67YCYX;MLB4337635977;Estojo Escolar Grande Box Organizador Divisória Lápis Caneta;4.9;631;https://produto.mercadolivre.com.br/MLB-4337635977-estojo-escolar-grande-box-organizador-divisoria-lapis-caneta-_JM;0.758;4.63;;;;;
Pet Shop;B07XVX9G17;Blue Premium Tapete Higiênico Para Cães 30 Unidades;4.6;4743;https://www.amazon.com.br/dp/B07XVX9G17;MLB28425742;Tapete Higiênico Cachorro 30 Unidades Standard 1ª Linha (80x60) Fralda Manta Absorvente Pet Cachorro Cão;4.4;18417;https://www.mercadolivre.com.br/tapete-higinico-cachorro-30-unidades-standard-1-linha-80x60-fralda-manta-absorvente-pet-cachorro-co/p/MLB28425742;0.714;4.44;;;;;
Pet Shop;B0977TDYVS;NexGard Spectra Antipulgas e Carrapatos e Vermífugo para Cães de 3,6 a 7,5kg - 1 tablete;4.8;7774;https://www.amazon.com.br/dp/B0977TDYVS;MLB15983681;Nexgard Spectra Antipulgas E Vermífugo Cães 3,6kg A 7,5kg;4.9;22950;https://www.mercadolivre.com.br/nexgard-spectra-antipulgas-e-vermifugo-ces-36kg-a-75kg/p/MLB15983681;0.759;4.87;;;;;
